Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev
RegularPropertyGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.556 ms,0.0244 ms,0.0217 ms
RegularPropertySet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8.374 ms,0.1672 ms,0.2651 ms
ReflectionGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,20.615 ms,0.4092 ms,0.7166 ms
ReflectionSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,38.163 ms,0.7523 ms,1.0043 ms
ReflectionWitchCachedPropertyInfoGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,13.802 ms,0.1983 ms,0.1855 ms
ReflectionWitchCachedPropertyInfoSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,31.025 ms,0.3409 ms,0.3022 ms
CompiledExpressionGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"4,193.458 ms",46.4240 ms,43.4250 ms
CompiledExpressionSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"4,570.293 ms",31.8571 ms,29.7992 ms
CachedCompiledExpressionGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.427 ms,0.0234 ms,0.0207 ms
CachedCompiledExpressionSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,9.423 ms,0.0537 ms,0.0449 ms
DelegateGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"4,741.994 ms",30.6888 ms,25.6265 ms
DelegateSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"4,986.362 ms",99.5774 ms,191.8519 ms
CachedDelegateGet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,13.061 ms,0.1236 ms,0.1032 ms
CachedDelegateSet,DefaultJob,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,LegacyJit,Default,X86,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Framework 4.8,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,10.206 ms,0.1908 ms,0.2343 ms
